direction	fit_scope	selected_l2	mode	expert_id	weight
A	inner_train	0	LAV	uniform_kd_seed1111	0.2836753665
A	inner_train	0	LAV	moddrop_seed1111	0.1434309858
A	inner_train	0	LAV	moddrop_seed1114	0.1684995747
A	inner_train	0	LAV	cfcompat_seed1111	0.1883645888
A	inner_train	0	LAV	cfcompat_seed1114	0.2160294842
A	inner_train	0	LA	uniform_kd_seed1111	0.276951874
A	inner_train	0	LA	moddrop_seed1111	0.1724539204
A	inner_train	0	LA	moddrop_seed1114	0.141700014
A	inner_train	0	LA	cfcompat_seed1111	0.1757860044
A	inner_train	0	LA	cfcompat_seed1114	0.2331081872
A	inner_train	0	LV	uniform_kd_seed1111	0.2748033062
A	inner_train	0	LV	moddrop_seed1111	0.1378917249
A	inner_train	0	LV	moddrop_seed1114	0.17296467
A	inner_train	0	LV	cfcompat_seed1111	0.1901806927
A	inner_train	0	LV	cfcompat_seed1114	0.2241596062
A	inner_train	0	L	uniform_kd_seed1111	0.2723239972
A	inner_train	0	L	moddrop_seed1111	0.1687586174
A	inner_train	0	L	moddrop_seed1114	0.1514498596
A	inner_train	0	L	cfcompat_seed1111	0.176298222
A	inner_train	0	L	cfcompat_seed1114	0.2311693039
A	full_development	0	LAV	uniform_kd_seed1111	0.3348466817
A	full_development	0	LAV	moddrop_seed1111	0.125316768
A	full_development	0	LAV	moddrop_seed1114	0.174862729
A	full_development	0	LAV	cfcompat_seed1111	0.1481629629
A	full_development	0	LAV	cfcompat_seed1114	0.2168108584
A	full_development	0	LA	uniform_kd_seed1111	0.3294927703
A	full_development	0	LA	moddrop_seed1111	0.1551113182
A	full_development	0	LA	moddrop_seed1114	0.1462671624
A	full_development	0	LA	cfcompat_seed1111	0.1372266049
A	full_development	0	LA	cfcompat_seed1114	0.2319021442
A	full_development	0	LV	uniform_kd_seed1111	0.3282182085
A	full_development	0	LV	moddrop_seed1111	0.1182045702
A	full_development	0	LV	moddrop_seed1114	0.1772947189
A	full_development	0	LV	cfcompat_seed1111	0.1505286692
A	full_development	0	LV	cfcompat_seed1114	0.2257538332
A	full_development	0	L	uniform_kd_seed1111	0.3267717637
A	full_development	0	L	moddrop_seed1111	0.1498851488
A	full_development	0	L	moddrop_seed1114	0.1553969654
A	full_development	0	L	cfcompat_seed1111	0.1379903518
A	full_development	0	L	cfcompat_seed1114	0.2299557704
