direction	fit_scope	selected_l2	mode	expert_id	weight
B	inner_train	0.01	LAV	uniform_kd_seed1111	0.1778969318
B	inner_train	0.01	LAV	moddrop_seed1111	0.2542016239
B	inner_train	0.01	LAV	moddrop_seed1114	0.260521522
B	inner_train	0.01	LAV	cfcompat_seed1111	0.1201113212
B	inner_train	0.01	LAV	cfcompat_seed1114	0.1872686011
B	inner_train	0.01	LA	uniform_kd_seed1111	0.1918570782
B	inner_train	0.01	LA	moddrop_seed1111	0.2616145923
B	inner_train	0.01	LA	moddrop_seed1114	0.2805190282
B	inner_train	0.01	LA	cfcompat_seed1111	0.1083733725
B	inner_train	0.01	LA	cfcompat_seed1114	0.1576359287
B	inner_train	0.01	LV	uniform_kd_seed1111	0.19771967
B	inner_train	0.01	LV	moddrop_seed1111	0.2374860954
B	inner_train	0.01	LV	moddrop_seed1114	0.2731201852
B	inner_train	0.01	LV	cfcompat_seed1111	0.1114289491
B	inner_train	0.01	LV	cfcompat_seed1114	0.1802451003
B	inner_train	0.01	L	uniform_kd_seed1111	0.2081262618
B	inner_train	0.01	L	moddrop_seed1111	0.2485774128
B	inner_train	0.01	L	moddrop_seed1114	0.287429329
B	inner_train	0.01	L	cfcompat_seed1111	0.1017926307
B	inner_train	0.01	L	cfcompat_seed1114	0.1540743657
B	full_development	0.01	LAV	uniform_kd_seed1111	0.1973532856
B	full_development	0.01	LAV	moddrop_seed1111	0.2396717635
B	full_development	0.01	LAV	moddrop_seed1114	0.2512967132
B	full_development	0.01	LAV	cfcompat_seed1111	0.09304889283
B	full_development	0.01	LAV	cfcompat_seed1114	0.2186293448
B	full_development	0.01	LA	uniform_kd_seed1111	0.2125785398
B	full_development	0.01	LA	moddrop_seed1111	0.2477161453
B	full_development	0.01	LA	moddrop_seed1114	0.2721117828
B	full_development	0.01	LA	cfcompat_seed1111	0.07950909016
B	full_development	0.01	LA	cfcompat_seed1114	0.188084442
B	full_development	0.01	LV	uniform_kd_seed1111	0.2179438787
B	full_development	0.01	LV	moddrop_seed1111	0.223490475
B	full_development	0.01	LV	moddrop_seed1114	0.2647959614
B	full_development	0.01	LV	cfcompat_seed1111	0.08318219991
B	full_development	0.01	LV	cfcompat_seed1114	0.210587485
B	full_development	0.01	L	uniform_kd_seed1111	0.2292609502
B	full_development	0.01	L	moddrop_seed1111	0.2354324825
B	full_development	0.01	L	moddrop_seed1114	0.2797774249
B	full_development	0.01	L	cfcompat_seed1111	0.07203695709
B	full_development	0.01	L	cfcompat_seed1114	0.1834921854
