direction	role	mode	rows	mean_entropy	mean_top1	mean_top2	hard_fraction	mean_margin
A	inner_train	L	7438	0.3893896575	0.8387111107	0.9676749356	0.0149233665	0.07930330735
A	inner_train	LA	7438	0.387075053	0.8404102356	0.9688700375	0.01505781124	0.07924577936
A	inner_train	LAV	7438	0.3868013935	0.8412156727	0.968581372	0.01559559021	0.07922720323
A	inner_train	LV	7438	0.3911774978	0.8380805451	0.9673430361	0.01505781124	0.07904274305
A	inner_valid	L	1094	0.3619257979	0.8522239024	0.9724478215	0.01462522852	0.08423014135
A	inner_valid	LA	1094	0.3602303411	0.8530012997	0.9716235888	0.01371115174	0.0847678336
A	inner_valid	LAV	1094	0.3627837304	0.8509528051	0.970245961	0.01279707495	0.08533855037
A	inner_valid	LV	1094	0.3621847193	0.8533418195	0.9711038978	0.01371115174	0.08504753455
B	inner_train	L	6933	0.366650423	0.8504889652	0.9688231068	0.01889513919	0.08855368013
B	inner_train	LA	6933	0.365233238	0.8510069039	0.9692501028	0.01759699986	0.08851073632
B	inner_train	LAV	6933	0.3631435137	0.8507442681	0.9699949363	0.01716428674	0.08824497577
B	inner_train	LV	6933	0.3641580144	0.852387646	0.9692810964	0.01702004904	0.08811676027
B	inner_valid	L	861	0.3720853331	0.8477684229	0.9677790603	0.01858304297	0.09070055083
B	inner_valid	LA	861	0.3694883122	0.8483424515	0.9689594605	0.01858304297	0.09058439815
B	inner_valid	LAV	861	0.3520771499	0.8589195864	0.9707701341	0.01742160279	0.09283957968
B	inner_valid	LV	861	0.3575998434	0.8559209927	0.9695615203	0.01742160279	0.09281774896
