Mode	Filler	PredictionMaxAbsDifference	PredictionMeanAbsDifference	RepresentationMaxAbsDifference	RepresentationMeanAbsDifference	MAE	DeltaMAEVsZero	Corr	J	DeltaJVsZero
LA	zero	0.0	0.0	0.0	0.0	0.5197476148605347	0.0	0.7466312898964825	0.5154934128125508	0.0
LA	permutation	0.0	0.0	0.0	0.0	0.5197476148605347	0.0	0.7466312898964825	0.5154934128125508	0.0
LA	gaussian	0.0	0.0	0.0	0.0	0.5197476148605347	0.0	0.7466312898964825	0.5154934128125508	0.0
LA	high	0.0	0.0	0.0	0.0	0.5197476148605347	0.0	0.7466312898964825	0.5154934128125508	0.0
LV	zero	0.0	0.0	0.0	0.0	0.5126074552536011	0.0	0.7505330102496433	0.5154934128125508	0.0
LV	permutation	0.0	0.0	0.0	0.0	0.5126074552536011	0.0	0.7505330102496433	0.5154934128125508	0.0
LV	gaussian	0.0	0.0	0.0	0.0	0.5126074552536011	0.0	0.7505330102496433	0.5154934128125508	0.0
LV	high	0.0	0.0	0.0	0.0	0.5126074552536011	0.0	0.7505330102496433	0.5154934128125508	0.0
L	zero	0.0	0.0	0.0	0.0	0.5181628465652466	0.0	0.746564357199575	0.5154934128125508	0.0
L	permutation	0.0	0.0	0.0	0.0	0.5181628465652466	0.0	0.746564357199575	0.5154934128125508	0.0
L	gaussian	0.0	0.0	0.0	0.0	0.5181628465652466	0.0	0.746564357199575	0.5154934128125508	0.0
L	high	0.0	0.0	0.0	0.0	0.5181628465652466	0.0	0.746564357199575	0.5154934128125508	0.0
