video_id	clip_count	label_mean	label_median	label_std	label_mad	label_min	label_max	label_range	positive_count	negative_count	neutral_count	all_pair_count	selected_pair_count	selected_pair_weight_sum	valid_pair_count_delta_1_0	valid_pair_count_delta_0_75	valid_pair_count_delta_0_5
-3g5yACwYnA	6	0.5555555820465088	0.6666666865348816	0.4157397150993347	0.3333333134651184	0.0	1.0	1.0	4	0	2	15	4	1.0	4	4	8
-3nNcZdcdvU	3	0.4444444477558136	0.3333333432674408	0.4157397150993347	0.3333333432674408	0.0	1.0	1.0	2	0	1	3	1	1.0	1	1	2
-HwX2H8Z4hY	10	-0.46666663885116577	-0.1666666716337204	0.8192136883735657	0.5	-2.0	0.6666666865348816	2.6666667461395264	2	5	3	45	22	0.9999999999999997	22	23	32
-NFrJFQijFE	4	0.1666666716337204	0.1666666716337204	0.1666666716337204	0.1666666716337204	0.0	0.3333333432674408	0.3333333432674408	2	0	2	6	0	0.0	0	0	0
-THoVjtIkeU	8	1.5416667461395264	1.6666666269302368	0.8650224804878235	0.5	-0.3333333432674408	2.6666667461395264	3.0	7	1	0	28	13	0.9999999999999998	13	14	20
-UuX1xuaiiE	10	1.0000001192092896	1.3333332538604736	1.1352925300598145	0.6666666269302368	-1.3333333730697632	2.6666667461395264	4.0	8	2	0	45	28	0.9999999999999997	28	31	37
-WXXTNIJcVM	5	1.5999999046325684	1.6666666269302368	0.6798692345619202	0.3333333730697632	0.3333333432674408	2.3333332538604736	1.9999998807907104	5	0	0	10	4	1.0	4	4	6
-ZgjBOA1Yhw	6	-0.1111111044883728	-0.1666666716337204	0.36851388216018677	0.3333333432674408	-0.6666666865348816	0.3333333432674408	1.0	2	3	1	15	2	1.0	2	2	7
-a55Q6RWvTA	1	0.6666666865348816	0.6666666865348816	0.0	0.0	0.6666666865348816	0.6666666865348816	0.0	1	0	0	0	0	0.0	0	0	0
-aNfi7CP8vM	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	2	1	0	0.0	0	0	0
-aqamKhZ1Ec	3	-1.0	-0.6666666865348816	0.7200822830200195	0.3333333432674408	-2.0	-0.3333333432674408	1.6666666269302368	0	3	0	3	2	1.0	2	2	2
-dxfTGcXJoc	8	1.25	1.1666667461395264	0.4639803469181061	0.49999988079071045	0.6666666865348816	2.0	1.3333332538604736	8	0	0	28	4	1.0	4	8	15
-egA8-b7-3M	17	0.5882353186607361	0.3333333432674408	0.47868847846984863	0.3333333432674408	0.0	1.6666666269302368	1.6666666269302368	14	0	3	136	30	0.9999999999999999	30	34	61
-iRBcNs9oI8	10	0.8666666150093079	0.8333333730697632	0.6359595060348511	0.5	0.0	2.0	2.0	8	0	2	45	17	1.0	17	19	30
-lqc32Zpr7M	4	-0.25	-0.3333333432674408	0.4330127239227295	0.3333333432674408	-0.6666666865348816	0.3333333432674408	1.0	1	2	1	6	2	1.0	2	2	4
-lzEya4AM_4	5	-0.13333334028720856	-0.3333333432674408	0.45215535163879395	0.3333333432674408	-0.6666666865348816	0.6666666865348816	1.3333333730697632	1	3	1	10	3	1.0	3	3	5
-mJ2ud6oKI8	9	0.14814814925193787	0.0	0.4475201964378357	0.0	-0.3333333432674408	1.3333333730697632	1.6666667461395264	2	1	6	36	8	1.0	8	8	9
-mqbVkbCndg	3	0.1111111119389534	0.0	0.15713484585285187	0.0	0.0	0.3333333432674408	0.3333333432674408	1	0	2	3	0	0.0	0	0	0
-t217m2on-s	2	0.0	0.0	0.6666666865348816	0.6666666865348816	-0.6666666865348816	0.6666666865348816	1.3333333730697632	1	1	0	1	1	1.0	1	1	1
-tANM6ETl_M	3	0.0	0.3333333432674408	0.4714045226573944	0.0	-0.6666666865348816	0.3333333432674408	1.0	2	1	0	3	2	1.0	2	2	2
-tPCytz4rww	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	6	15	0	0.0	0	0	0
-vxjVxOeScU	3	1.0	1.0	0.27216553688049316	0.3333333134651184	0.6666666865348816	1.3333333730697632	0.6666666865348816	3	0	0	3	0	0.0	0	0	1
-wMB_hJL-3o	4	0.8333333730697632	0.8333333730697632	0.3726780116558075	0.3333333432674408	0.3333333432674408	1.3333333730697632	1.0	4	0	0	6	1	1.0	1	1	3
-wny0OAz3g8	9	0.07407408207654953	0.0	0.6241592168807983	0.3333333432674408	-1.3333333730697632	1.0	2.3333334922790527	4	2	3	36	13	0.9999999999999998	13	13	20
03X1FwF6udc	7	0.3333333134651184	0.3333333432674408	0.2519763112068176	0.3333333432674408	0.0	0.6666666865348816	0.6666666865348816	5	0	2	21	0	0.0	0	0	4
07Z16yRBFUQ	3	0.2222222238779068	0.0	0.31426969170570374	0.0	0.0	0.6666666865348816	0.6666666865348816	1	0	2	3	0	0.0	0	0	2
08d4NTXkSxw	4	0.0833333358168602	0.0	0.14433757960796356	0.0	0.0	0.3333333432674408	0.3333333432674408	1	0	3	6	0	0.0	0	0	0
0AA-wmk8WdA	2	0.6666666865348816	0.6666666865348816	0.3333333134651184	0.3333333134651184	0.3333333432674408	1.0	0.6666666269302368	2	0	0	1	0	0.0	0	0	1
0AkGtPzl7D8	1	0.6666666865348816	0.6666666865348816	0.0	0.0	0.6666666865348816	0.6666666865348816	0.0	1	0	0	0	0	0.0	0	0	0
0BVed2nBq1g	7	0.0	0.0	0.4714045524597168	0.3333333432674408	-0.6666666865348816	0.6666666865348816	1.3333333730697632	2	3	2	21	6	0.9999999999999999	6	6	12
0DBfvvIVmqY	11	0.8484848141670227	0.6666666865348816	0.5922672748565674	0.3333333432674408	0.3333333432674408	2.3333332538604736	1.9999998807907104	11	0	0	55	16	1.0	16	18	28
0EAAfLCQabY	3	-0.5555555820465088	-0.6666666865348816	0.15713484585285187	0.0	-0.6666666865348816	-0.3333333432674408	0.3333333432674408	0	3	0	3	0	0.0	0	0	0
0EphpADwdPg	6	0.6666666865348816	0.5	0.5443310141563416	0.3333333432674408	0.0	1.6666666269302368	1.6666666269302368	5	0	1	15	4	1.0	4	5	9
0FA32bEZ6xI	29	0.14942528307437897	0.0	0.31055760383605957	0.0	-0.6666666865348816	1.0	1.6666667461395264	10	1	18	406	28	0.9999999999999997	28	28	106
0JuRmhhgMw8	8	0.5	0.5	0.4714045524597168	0.5	0.0	1.3333333730697632	1.3333333730697632	5	0	3	28	7	0.9999999999999998	7	7	16
0OC3wf9x3zQ	11	0.4545454680919647	0.3333333432674408	0.5907148122787476	0.3333333432674408	0.0	1.6666666269302368	1.6666666269302368	7	0	4	55	18	1.0000000000000002	18	18	18
0OXeN3MhFeA	7	0.6666666269302368	0.6666666865348816	0.5634361505508423	0.3333333134651184	-0.3333333432674408	1.6666666269302368	2.0	6	1	0	21	6	0.9999999999999999	6	9	12
0SfejBuLgFo	8	-1.1175870895385742e-08	-0.1666666716337204	0.6666666865348816	0.1666666716337204	-0.6666666865348816	1.6666666269302368	2.3333332538604736	1	4	3	28	7	0.9999999999999998	7	7	10
0Svu5BldR5A	2	0.8333333134651184	0.8333333134651184	0.8333333134651184	0.8333333134651184	0.0	1.6666666269302368	1.6666666269302368	1	0	1	1	1	1.0	1	1	1
0W4WsjhDgUI	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	1	0	0	0.0	0	0	0
0WIwQgH4lKg	6	1.0555554628372192	1.1666666269302368	0.7556372284889221	0.6666666269302368	0.0	2.0	2.0	5	0	1	15	7	0.9999999999999998	7	9	10
0Xs8wJrAmxs	4	-0.5833333134651184	-0.5	0.7216877937316895	0.5	-1.6666666269302368	0.3333333432674408	2.0	1	3	0	6	3	1.0	3	4	5
0YdYFtVdlWE	22	0.21212120354175568	0.1666666716337204	0.5821021795272827	0.1666666716337204	-0.6666666865348816	2.0	2.6666667461395264	11	4	7	231	62	0.9999999999999992	62	62	116
0bsTzavb-AE	4	0.3333333432674408	0.3333333432674408	0.2357022762298584	0.1666666716337204	0.0	0.6666666865348816	0.6666666865348816	3	0	1	6	0	0.0	0	0	1
0cBmQ_ItVUc	11	0.1818181872367859	0.3333333432674408	1.2256817817687988	1.0	-2.0	2.0	4.0	6	5	0	55	38	0.9999999999999992	38	39	47
0hCOCt6fWas	6	0.1666666716337204	0.0	0.2545875310897827	0.0	0.0	0.6666666865348816	0.6666666865348816	2	0	4	15	0	0.0	0	0	4
0hCihQ5Kep0	3	1.3333333730697632	1.6666666269302368	0.471404492855072	0.0	0.6666666865348816	1.6666666269302368	0.9999999403953552	3	0	0	3	0	0.0	0	2	2
0jtdrsmVzYQ	2	-0.1666666716337204	-0.1666666716337204	0.1666666716337204	0.1666666716337204	-0.3333333432674408	0.0	0.3333333432674408	0	1	1	1	0	0.0	0	0	0
0mXv97u2OCM	2	0.1666666716337204	0.1666666716337204	0.1666666716337204	0.1666666716337204	0.0	0.3333333432674408	0.3333333432674408	1	0	1	1	0	0.0	0	0	0
0nJrksJ7azM	6	1.111111044883728	1.3333333730697632	0.5983516573905945	0.33333325386047363	0.0	1.6666666269302368	1.6666666269302368	5	0	1	15	4	1.0	4	6	9
0p9XKC_J3hU	1	0.3333333432674408	0.3333333432674408	0.0	0.0	0.3333333432674408	0.3333333432674408	0.0	1	0	0	0	0	0.0	0	0	0
0r8KVXUCV6c	4	-1.1666666269302368	-1.5	0.8975275158882141	0.3333333134651184	-2.0	0.3333333432674408	2.3333332538604736	1	3	0	6	3	1.0	3	3	4
0rE8jEvQW_I	9	1.5555554628372192	1.3333333730697632	0.6849348545074463	0.6666666269302368	0.3333333432674408	2.3333332538604736	1.9999998807907104	9	0	0	36	14	0.9999999999999997	14	20	24
0tkWa2skSmA	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	2	1	0	0.0	0	0	0
0vXaXWx7Rvo	6	0.944444477558136	0.8333333730697632	0.8480187654495239	0.3333333432674408	0.0	2.6666667461395264	2.6666667461395264	5	0	1	15	7	0.9999999999999998	7	7	10
0zl_GDVzykw	2	-0.3333333432674408	-0.3333333432674408	0.0	0.0	-0.3333333432674408	-0.3333333432674408	0.0	0	2	0	1	0	0.0	0	0	0
100499	7	-0.8571428656578064	-1.3333333730697632	0.8702698349952698	0.6666666269302368	-2.0	0.3333333432674408	2.3333332538604736	1	4	2	21	12	1.0	12	12	14
101851	21	-0.4444444179534912	-0.3333333432674408	0.8441101908683777	0.6666666865348816	-2.0	1.0	3.0	5	12	4	210	64	1.0	114	115	151
102168	5	0.06666667014360428	0.0	0.13333334028720856	0.0	0.0	0.3333333432674408	0.3333333432674408	1	0	4	10	0	0.0	0	0	0
102184	14	-1.1904762983322144	-1.5	1.2892367839813232	1.1666667461395264	-2.6666667461395264	1.0	3.6666667461395264	3	10	1	91	62	0.9999999999999992	62	64	75
10223	10	-0.46666663885116577	-0.6666666865348816	0.6531972885131836	0.5	-1.3333333730697632	0.6666666865348816	2.0	2	6	2	45	22	0.9999999999999997	22	22	29
106077	15	-0.555555522441864	-0.6666666865348816	1.0012338161468506	0.9999999403953552	-2.0	1.6666666269302368	3.6666665077209473	4	8	3	105	62	0.9999999999999992	62	65	76
106514	18	-0.8888888955116272	-0.8333333730697632	1.0943175554275513	0.8333332538604736	-2.6666667461395264	1.3333333730697632	4.0	3	14	1	153	64	1.0	89	97	120
