Evidence	auroc	balanced_accuracy	feature_dimension	mode	shuffled_train_label_auroc	source_disjoint	split_seed	train_pair_count_per_class	valid_pair_count_per_class	P1_minus_P0_J	P1_minus_P2_J	P1_minus_P3_J
source_fingerprint	0.5397203412077005	0.5157528641571194	5	LAV	0.48090232668400645	True	2101	5000	2444	NA	NA	NA
source_fingerprint	0.527990656834199	0.5161620294599019	5	LA	0.533630407879546	True	2101	5000	2444	NA	NA	NA
source_fingerprint	0.5461702194626072	0.5153436988543372	5	LV	0.4918772986250438	True	2101	5000	2444	NA	NA	NA
source_fingerprint	0.527468820398531	0.5167757774140753	5	L	0.4896884986379014	True	2101	5000	2444	NA	NA	NA
source_fingerprint	0.595337285488255	0.5563296178343948	5	LAV	0.4492992552943324	True	2102	5000	2512	NA	NA	NA
source_fingerprint	0.5466673977646151	0.5272691082802548	5	LA	0.5373788617185281	True	2102	5000	2512	NA	NA	NA
source_fingerprint	0.5852316523996917	0.5481687898089171	5	LV	0.4844975011663759	True	2102	5000	2512	NA	NA	NA
source_fingerprint	0.5210049089212543	0.5115445859872612	5	L	0.4802815910381759	True	2102	5000	2512	NA	NA	NA
controlled_probe	NA	NA	NA	ALL_SHARED_HEAD	NA	True	2101	NA	NA	0.003963693976402283	-0.02128235499064135	-0.0030688047409057617
controlled_probe	NA	NA	NA	ALL_SHARED_HEAD	NA	True	2102	NA	NA	0.0036772688229879114	-0.007908066113789913	-0.015594696005185482
